Genesis 1:1	Mwanzo hapo, Mungu aliumba mbingu na dunia.
Genesis 16:12	Ishmaeli huyo, atakuwa kama punda wa porini kwa watu, atakuwa anapigana na kila mtu, na watu wote watakuwa wanapigana naye. Atakuwa anapigana na jamaa zake wote.”
Genesis 16:13	Basi, Hajiri akamwita jina Bwana Mungu ambaye alizungumza naye huko, “Wewe ni Mungu ambaye unaona,” kwa maana alisema kwamba, “Sasa nimemwona yeye ambaye ananiona mimi.”
Genesis 16:14	Hicho ndicho kilifanya chemichemi hiyo ikaitwa Beeri-Lahai-Roi. Chemichemi hiyo, kiko kati ya mji wa Kadeshi na wa Beredi.
Genesis 16:15	Kisha, Hajiri akarudi nyumbani, akamzalia Abramu mtoto wa kiume. Abramu akamwita kwamba, Ishmaeli.
Genesis 16:16	Wakati ambao Hajiri alimzaa Ishmaeli, Abramu alikuwa na miaka themanini na sita.
Genesis 17:1	Abramu ambapo alifikisha miaka tisini na tisa, Bwana Mungu akamtokea, akamwambia kwamba, “Ni mimi Mungu mwenye uwezo wote. Ushike mafundisho yangu, na uishi mbele yangu kwa unyofu.
Genesis 17:2	Na mimi nitafanya agano kati yangu na wewe, na nitazidisha uzao wako sana.”
Genesis 17:3	Hapo, Abramu akapiga magoti, akainamisha uso mpaka chini. Ndipo Mungu akamwambia kwamba,
Genesis 17:4	“Hili ndilo agano langu na wewe, utakuwa baba wa makabila mengi.
Genesis 17:5	Kuanzia leo hautaitwa tena Abramu, bali utakuwa unaitwa Abrahamu, kwa kuwa nimekufanya kuwa baba wa makabila mengi.
Genesis 17:6	Ninakufanya uwe na uzao mwingi sana, na kutoka katika uzao wako, makabila mengi yatatokea, na wafalme watakuwemo.
Genesis 17:7	“Nitafanya agano langu na wewe milele, kizazi kwa kizazi. Itakuwa hivyo hivyo kati yangu na kizazi chako. Na nitakuwa Mungu wako na Mungu wa kizazi ambacho kitakuja nyuma yako, milele.
Genesis 17:8	Nitakupa wewe na uzao wako, nchi ya Kanaani ambayo unaishi sasa kama mgeni, yote iwe yenu, siku zote. Na mimi nitakuwa Mungu wao.”
Genesis 17:9	Kisha, Mungu akamwambia Abrahamu kwamba, “Wewe pamoja na uzao wako na vizazi vyako vyote, mshike agano langu.
Genesis 17:10	Basi, kila mume kati yenu atahiriwe. Hili ndilo agano langu ambalo mnatakiwa mlishike, wewe na uzao wako.
Genesis 17:11	Muwe mnatahiriwa. Na jambo hilo litakuwa ishara ya agano, kati yangu na ninyi.
Genesis 17:12	Kila mtoto wa kiume, kizazi kwa kizazi, anatakiwa atahiriwe siku ya nane. Sio hao wa uzao wako tu, watahiriwe nao hata watumwa ambao wamezaliwa nyumbani kwako, na watumwa ambao wamenunuliwa kwa fedha kutoka kwa wageni.
Genesis 17:13	Mwanaume yeyote aliyezaliwa nyumbani kwako au aliyenunuliwa kwa fedha yako, anatakiwa atahiriwe. Hiyo ndiyo inakuwa ishara katika miili yenu ya agano la milele.
Genesis 17:14	Kila mwanaume ambaye hatatahiriwa, atatengwa kutoka katika watu wake, kwa kuwa atakuwa ameharibu agano langu.”
Genesis 17:15	Kisha, Mungu akaendelea kumwambia Abrahamu kwamba, “Tangu leo, mke wako Sarai, usimwite Sarai tena. Jina lake litakuwa Sara.
Genesis 17:16	Na nitambariki mpaka akuzalie mtoto wa kiume. Nitaendelea kumbariki awe mama wa makabila mengi. Na kutoka katika uzao wake huo, wafalme watatokea.”
Genesis 17:17	Tena, Abrahamu akapiga magoti, akainamisha uso mpaka chini, akacheka na kufikiria kwamba, “Mtu wa miaka mia moja, anaweza kuzaa mtoto? Na Sara wa miaka tisini, anaweza kuzaa?”
Genesis 17:18	Ndipo Abrahamu akamwomba Mungu kwamba, “Ingekuwa vizuri ukubali, Ishmaeli apate baraka yako hiyo.”
Genesis 17:19	Mungu akamjibu kwamba, “Siyo hivyo! Bali mke wako Sara atakuzalia mtoto wa kiume, na wewe utamwita kwamba, Isaka. Mimi nitathibitisha agano langu naye kuwa agano la siku zote na uzao wake.
Genesis 17:20	Na kwa upande wa Ishmaeli, nimesikia maombi yako juu yake. Naye, nitambariki, nitamfanya awe na uzao mwingi na nitauongeza sana. Atakuwa baba wa watawala kumi na wawili, na mimi nitamfanya baba wa watu wengi sana.
Genesis 17:21	Lakini agano langu lile, litakuwa kwa Isaka mwenyewe. Na kwa mwaka huo unaokuja, wakati kama huu, Sara atakuzalia mtoto huyo.”
Genesis 17:22	Ambapo Mungu alimaliza kuzungumza na Abrahamu, akamwacha hapo.
Genesis 17:23	Siku ile ile, Abrahamu akamchukua Ishmaeli mwanawe, na wote ambao walizaliwa nyumbani kwake, pamoja na ambao walinunuliwa kwa fedha zake. Wote wanaume wa nyumbani mwake, akawatahiri kama Mungu alivyomwagiza.
Genesis 17:24	Ambapo Abrahamu alitahiriwa, alikuwa na miaka tisini na tisa,
Genesis 17:25	na mtoto wake Ishmaeli, alikuwa na miaka kumi na tatu wakati wa kutahiriwa kwake.
Genesis 17:26	Abrahamu na mtoto wake Ishmaeli, walitahiriwa siku hiyo hiyo,
Genesis 17:27	pamoja na wanaume wote ambao walizaliwa nyumbani kwake, na ambao walinunuliwa kwa hela kutoka kwa wageni.
Genesis 18:1	Siku moja, Bwana Mungu akamtokea Abrahamu tena karibu na miti mikubwa mitakatifu ya Mamre. Wakati wa joto la mchana, Abrahamu alikuwa anakaa kwenye mlango wa hema lake.
Genesis 18:2	Ambapo aliinua macho yake, akaona watu watatu wamesimama mbali kidogo mbele yake. Ambapo aliwaona, akainuka haraka, akakimbia kutoka mlangoni hapo, akaenda kuwapokea. Ambapo aliwafikia, akapiga magoti, akainamisha uso chini kuonyesha jinsi anawaheshimu.
Genesis 18:3	Kisha akawaambia kwamba, “Ee bwana zangu, mimi ni mtumishi wenu! Naomba msipitilize hivyo, tafadhali mfike nyumbani kwangu.
Genesis 18:4	Naomba msubiri mletewe maji ya kuosha miguu, kisha mpumzike katika kivuli cha mti huu.
Genesis 18:5	Mmenijia mimi mtumishi wenu, kwa hiyo msubiri niwafanyie chakula kidogo, ili muwe na nguvu ya kuendelea na safari yenu.” Nao wakamjibu kwamba, “Ni sawa. Fanya kama ambavyo ulisema.”
Genesis 18:6	Kwa hiyo, Abrahamu akaingia katika hema haraka, akamwambia mke wake Sara kwamba, “Fanya haraka, uchukue vipimo vitatu vya unga mzuri, uukande, ufanyie wageni mikate.”
Genesis 18:7	Kisha, Abrahamu akakimbia haraka kwenda katika kundi la ngʼombe, akachagua ndama mmoja mnono, akampa mtumwa wake. Mtumwa huyo, akamchinja haraka na kumbanika.
Genesis 18:8	Ambapo chakula kilikuwa tayari, Abrahamu akachukua siagi, maziwa, na nyama hiyo, akaviweka mbele ya wageni hao. Ambapo walikuwa wanakula, Abrahamu alikuwa amesimama karibu nao chini ya mti hapo.
Genesis 18:9	Ndipo wageni hao, wakamwuliza kwamba, “Mke wako Sara, yuko wapi?” Abrahamu akawajibu kwamba, “Yumo ndani ya hema.”
Genesis 18:10	Kisha mmoja wao, akasema kwamba, “Kweli, nitarudi mwakani kwa wakati kama huu, na Sara atakuwa na mtoto wa kiume.” Wakati huo, Sara alikuwa amesimama nyuma mlangoni wa hema akiwa anasikiliza.
Genesis 18:11	Abrahamu na Sara, walikuwa wamezeeka, na Sara alikuwa amekoma kuzaa.
Genesis 18:12	Kwa hiyo, Sara akacheka kimya, akajisemea moyoni mwake kwamba, “Mbona mimi nimezeeka! Na mume wangu naye amezeeka. Sasa, nitawezaje kuwa na furaha ya kulala na mume?”
Genesis 18:13	Basi, Bwana Mungu akamwuliza Abrahamu kwamba, “Ni kwa nini Sara amecheka, huku anajiuliza kwamba, ‘Kweli nitazaa mtoto katika uzee wangu huu?’
Genesis 18:14	Lipo jambo lolote gumu ambalo haliwezekani kwa Bwana Mungu? Nitarudi mwakanai kwa wakati kama huu, na utakuta Sara atakuwa na mtoto wa kiume!”
Genesis 18:15	Lakini Sara alikuwa ameogopa, akabisha kwamba, “Mimi sikucheka!” Bwana Mungu akamwambia kwamba, “Hata ukikataa, lakini umecheka.”
Genesis 18:16	Ambapo watu hao walimaliza kula chakula, wakaondoka, na Abrahamu akawasindikiza. Wakafika mahali ambapo walikuwa wanaweza kuona mji wa Sodoma.
Genesis 18:17	Ndipo, Bwana Mungu akafikiria kwamba, “Sasa, kwa nini nimfiche Abrahamu jambo ambalo ninataka kufanya?
Genesis 18:18	Yeye atakuwa baba wa taifa kubwa lenye nguvu. Na kupitia kwake, nitabariki watu wa mataifa yote ya duniani.
Genesis 18:19	Nimemchagua mwenyewe, aongoze watoto wake, na uzao wake, wawe wananitii kwa kufanya mambo ya haki. Wakati wakifanya hivyo, na mimi nitamfanyia Abrahamu kama ambavyo nilimwahidi.”
Genesis 18:20	Hapo, Bwana Mungu akasema kwamba, “Nimesikia kilio kingi juu ya watu wa miji ya Sodoma na Gomora. Dhambi zao, zimekuwa nyingi sana!
Genesis 18:21	Basi sasa, nashuka nikaone kama dhambi ambazo wanafanya zinalingana na kilio ambacho kimenifikia. Kama sivyo, nitajua.”
Genesis 18:22	Basi, watu hao wawili wengine, wakashika njia ya kuelekea Sodoma, lakini Abrahamu akabaki amesimama na Bwana Mungu.
Genesis 18:23	Ndipo, Abrahamu akamsogelea, akamwuliza kwamba, “Ni kweli kwamba utaangamiza wote, wenye haki pamoja na waovu?
Genesis 18:24	Tuseme kwamba, katika mji wakiwepo watu wenye haki hamsini. Ni kweli kwamba, utauangamiza, na hata hutaacha kuuangamiza kwa ajili ya watu wenye haki hamsini hao ambao wamo?
Genesis 18:25	Hapana, haiwezekani! Hutakiwi kuua wenye haki pamoja na waovu. Nadhani hufanyi hivyo, kufanyia wenye haki kama waovu! Wewe mwamuzi wa dunia yote, hutaacha kutenda haki!”
Genesis 18:26	Bwana Mungu akamjibu kwamba, “Iwapo nikikuta watu wenye haki hamsini katika mji wa Sodoma, sitaangamiza mji wote kwa ajili ya watu hao!”
Genesis 18:27	Abrahamu akasema tena kwamba, “Ingawa mimi ni mavumbi na jivu tu, lakini ninakuomba kuzungumza na wewe Bwana wangu.
Genesis 18:28	Je, iwapo wamo wenye haki arobaini na tano tu, wanapungua kufika hamsini, utaangamiza mji huo wote, kwa kuwa wamepungua wenye haki watano?” Bwana Mungu akamjibu kwamba, “Siyo hivyo! Sitaangamiza mji huo, iwapo wamo humo wenye haki arobaini na tano.”
Genesis 18:29	Abrahamu akaendelea kumwuliza tena kwamba, “Sasa, iwapo wamo humo wenye haki arobaini tu?” Naye akamjibu kwamba, “Kwa ajili ya wenye haki arobaini hao, sitaangamiza mji huo.”
Genesis 18:30	Abrahamu akasema tena kwamba, “Ee Bwana, nakuomba usikasirike, uniache niongee tena. Iwapo wamo wenye haki thelathini tu?” Bwana Mungu akamjibu kwamba, “Iwapo nitakuta humo wenye haki thelathini tu, sitaangamiza mji huo.”
Genesis 18:31	Abrahamu akasema kwamba, “Nimezungumza kwa ujasiri na Bwana wangu. Sasa naomba tena, iwapo wamo humo wenye haki ishirini tu?” Bwana Mungu akamjibu kwamba, “Kwa ajili ya watu wenye haki ishirini hao, sitaungamiza mji huo.”
Genesis 18:32	Mwishowe, Abrahamu akasema kwamba, “Bwana wangu, usikasiriki nikizidi kusema mara moja. Iwapo wamo humo watu wenye haki kumi tu?” Bwana Mungu akamjibu kwamba, “Kwa ajili ya wenye haki kumi, sitaangamiza mji huo.”
Genesis 18:33	Ambapo Bwana Mungu alimaliza kuzungumza na Abrahamu, akaondoka. Abrahamu naye, akarudi nyumbani kwake.
Genesis 19:1	Basi, malaika wawili wale, wakafika katika mji wa Sodoma jioni. Lutu alikuwa amekaa katika lango la mji. Ambapo aliwaona, akanyanyuka, akaenda kuwalaki. Ndipo akapiga magoti, akainamisha uso chini kuonyesha kwamba, anawaheshimu.
Genesis 19:2	Akawaambia kwamba, “Bwana zangu, karibuni katika nyumba yangu, mimi mtumishi wenu. Munawe miguu, na mlale kwangu usiku wa leo. Kesho asubuhi na mapema, mwendelee na safari yenu.” Lakini, wao wakamjibu kwamba, “Hapana, sisi tutalala uwanjani hapa.”
Genesis 19:3	Lutu akaendelea kuwasihi sana, mwisho wakakubali. Kwa hiyo, wakaingia kwake. Ndipo Lutu akawaandalia sherehe, akawaokea mikate ambayo haina hamira, akawapa, wakala.
Genesis 19:4	Basi, wakati ambao walikuwa bado hawajalala, wanaume wote kutoka pande zote za mji wa Sodoma, vijana na wazee, wakazunguka nyumba ya Lutu.
Genesis 19:5	Wakamwita Lutu kwamba, “Lutu! Wanaume ambao wameingia kwako humu, wako wapi? Watoe nje huku! Tunataka tuwafanye wanawake.”
Genesis 19:6	Lutu akatoka nje, akafunga mlango nyuma yake.
Genesis 19:7	Akawaambia kwamba, “Ndugu zangu, muache! Watu hawa, msiwafanyie mabaya haya!
Genesis 19:8	Sikia! Nina mabinti wawili ambao hawajajua mwanaume. Ngoja niwatolee nje, mwafanye ambavyo mnataka. Lakini, wanaume hawa, msiwafanyie mabaya yoyote, kwa kuwa wao ni wageni wangu.”
Genesis 19:9	Lakini watu wale, wakamjibu kwamba, “Toka hapa! Wewe ni mgeni hapa, sasa na wewe unataka kuwa mwamuzi wa mambo yetu! Basi, tutakufanyia mabaya kwanza, kuliko ambavyo tungefanyia wageni wako hao!” Kisha wakamsukuma Lutu pembeni, wakajaribu kuvunja mlango.
Genesis 19:10	Ndipo, malaika ambao walikuwa ndani ya nyumba, wakafungua mlango, wakamvutia Lutu ndani, wakafunga mlango.
Genesis 19:11	Kisha, wakapofusha watu hao wote, wadogo kwa wakubwa. Kwa hiyo, hawakuweza tena kuona mlango.
Genesis 19:12	Basi, malaika hao, wakauliza Lutu kwamba, “Una mtu mwingine yeyote hapa? Je wapo ndugu zako ambao uko nao katika mji huu, labda wakwe wako, watoto wa kiume na wa kike? Watoe haraka!
Genesis 19:13	Fanya hivyo, kwa kuwa dhambi za watu wa mji huu, zimekuwa nyingi sana mbele ya Bwana Mungu. Ndicho kimefanya, ametutuma tuje kuangamiza mji huu.”
Genesis 19:14	Basi, Lutu akaenda kwa wakwe wake, ambao walikuwa wameomba uchumba mabinti zake. Akawaambia kwamba, “Tokeni katika mji huu haraka, kwa kuwa Bwana Mungu anataka kuuangamiza.” Lakini wakwe wake hao, wakamwona kama anawatania.
Genesis 19:15	Ambapo kulikucha asubuhi, malaika hao, wakamsisitiza Lutu kwamba, “Fanya haraka, uchukue mke wako, na mabinti zako wawili hawa, tokeni katika mji huu, msije kuangamizwa humo.”
Genesis 19:16	Lutu akawa anasita, lakini malaika hao wakawashika mkono Lutu, mke wake, pamoja na mabinti zake, wakawatoa nje ya mji, kwa kuwa Bwana Mungu aliwaonea huruma.
Genesis 19:17	Ambapo walifika nje ya mji, malaika mmoja akawaambia kwamba, “Kimbieni, ili mjiponye! Msiangalie nyuma, wala kusimama mahali popote katika bonde hilo. Mkimbilie milimani, msije kuangamia.”
Genesis 19:18	Lutu akawasihi kwamba, “Hapana, mabwana zetu!
Genesis 19:19	Ona! Mmenibariki mimi mtumishi wenu, mmenihurumia sana kwa kuniokoa. Lakini, siwezi kukimbilia milimani, kwa kuwa iko mbali sana. Hatari hii itanikuta kabla sijafika huko, nami nitakufa.
Genesis 19:20	Ona! Uko mji mdogo kule, naomba uniruhusu nikimbilie humo, kwa kuwa uko karibu. Ndipo nitaokolewa.”
Genesis 19:21	Mmoja wa malaika hao, akamjibu kwamba, “Ni sawa, nimekukubalia na jambo hili pia. Sitaangamiza mji huo umesema.
Genesis 19:22	Sasa kimbilia humo haraka. Siwezi kufanya lolote mpaka nione kwamba, umefika humo.” Ndicho kimesababisha mji huo ukaitwa kwamba, Soari.
Genesis 19:23	Wakati ambao Lutu alifika katika mji wa Soari, jua lilikuwa limechomoza.
Genesis 19:24	Ndipo, Bwana Mungu akashusha moto mkali wa kibiriti, ukaanguka katika miji ya Sodoma na Gomora.
Genesis 19:25	Akaangamiza miji miwili hiyo, na bonde lote, pamoja na watu wote waliomo, na mimea yote.
Genesis 19:26	Wakati ambao miji hiyo ilikuwa ikiteketea, mke wa Lutu alikuwa anamfuata mume wake, na akageuka kuangalia nyuma, hapohapo akabadilika akawa nguzo ya chumvi.
Genesis 19:27	Basi, ambapo kulikucha asubuhi, Abrahamu akaenda mahali ambapo alikuwa amesimama na Bwana Mungu.
Genesis 19:28	Akaangalia upande wa Sodoma na Gomora, na bonde lote. Akaona moshi mzito ukipanda, kama moshi wa tanuru.
Genesis 19:29	Basi, wakati ambao Mungu alikuwa akiteketeza miji katika bonde hilo, alikumbuka maombi ya Abrahamu. Kwa hiyo, alimtoa Lutu katika hatari ya kuangamizwa kwa miji ambayo Lutu aliishi humo.
Genesis 19:30	Lutu akaogopa kuishi katika mji wa Soari. Kwa hiyo yeye na mabinti zake, wakapanda milimani. Huko, wakaishi katika pango kwenye mlima.
Genesis 19:31	Siku moja, binti mkubwa akamwambia mdogo wake kwamba, “Baba yetu amezeeka. Na hakuna mwanaume ambaye atalala na sisi, kama ilivyo duniani kote.
Genesis 19:32	Sasa, tumnyweshe pombe ya mizabibu alewe, tukalale naye, ili tukuze uzao kwa kupitia kwake.”
Genesis 19:33	Basi, usiku ule ule, wakamnywesha baba yao pombe mpaka akalewa, binti yake mkubwa akalala naye. Baba yao hakujua ambavyo binti huyo, aliingia ndani na ambavyo alitoka humo.
Genesis 19:34	Ambapo kulikucha asubuhi, binti mkubwa akamwambia mdogo wake kwamba, “Mimi usiku nililala na baba yetu. Sasa! Leo tena tumnyweshe pombe, wewe pia ulale naye, tukuze uzao kwa kupitia kwake.”
Genesis 19:35	Basi, usiku huo, wakamnywesha tena baba yao pombe, binti mdogo pia akalala naye. Baba yao hakujua ambavyo binti huyo, aliingia ndani na ambavyo alitoka humo.
Genesis 19:36	Kwa hiyo, mabinti hao wa Lutu wote wawili, wakachukua mimba kupitia kwa baba yao.
Genesis 19:37	Basi, binti mkubwa akazaa mtoto wa kiume, akamwita Moabu. Huyo ndiye babu wa Wamoabu, mpaka leo hii.
Genesis 19:38	Binti yake mdogo, pia akazaa mtoto wa kiume, akamwita Benami. Huyo ndiye babu wa Waamoni, mpaka leo hii.
Genesis 20:1	Basi, Abrahamu akatoka Mamre hapo, akaelekea upande wa kusini katika jangwa la Negebu. Huko akakaa katikati ya miji ya Kadeshi na Shuri. Kisha, akaenda kukaa katika mji wa Gerari kwa muda mfupi.
Genesis 20:2	Wakati ambao alikuwa huko, Abrahamu akaambia watu kwamba, Sara ni dada yake. Kwa hiyo, Abimeleki mfalme wa mji huo, akatuma watu, wamletee Sara katika nyumba yake.
Genesis 20:3	Lakini, Mungu akamtokea Abimeleki katika ndoto usiku, akamwambia kwamba, “Wewe utakufa, kwa sababu mwanamke ambaye umechukua, ni mke wa mtu!”
Genesis 20:4	Wakati huo, Abimeleki alikuwa bado hajalala na Sara. Kwa hiyo akajibu kwamba, “Bwana, unaua watu ambao hawana hatia?
Genesis 20:5	Abrahamu mwenyewe ndiye aliniambia kwamba, mwanamke huyo ni dada yake! Tena hata mwanamke naye mwenyewe amesema kwamba, Abrahamu ni kaka yake! Kwa hiyo, ambalo nimefanya, nimelifanya kwa moyo safi, sina hatia yoyote!”
Genesis 20:6	Ndipo Mungu akamwambia katika ndoto hiyo kwamba, “Ninajua kwamba, umefanya hayo kwa moyo safi. Mimi ndimi nimekuzuia ili usinitendee dhambi kwa kugusa mwanamke huyo.
Genesis 20:7	Sasa, urudishe mwanamke huyo kwa mume wake. Abrahamu ni nabii, atakuombea uwe mzima. Lakini kama unakataa kumrudisha, ujue ukweli kwamba, utakufa wewe pamoja na watu wako wote.”
Genesis 20:8	Basi, kesho yake alfajiri, Abimeleki akaita watumishi wake wote. Akawaambia mambo hayo yote, nao wakaogopa sana.
Genesis 20:9	Ndipo, Abimeleki akaita Abrahamu, akamwuliza kwamba, “Umetufanyia jambo gani? Nimekukosea nini, mpaka umeleta hatia kubwa kwangu na kwa watu wa ufalme wangu? Umenifanyia matendo ambayo hayatakiwi kufanywa.”
Genesis 20:10	Abimeleki akaendelea kumwuliza Abrahamu kwamba, “Kwa nini umefanya jambo hili?”
Genesis 20:11	Abrahamu akamjibu kwamba, “Nilifanya hivyo, kwa kuwa nimeona kwamba, mahali hapa, hayupo mtu ambaye anamtii Mungu. Kwa hiyo, nikaogopa kwamba, mngeniua, ili mchukue mke wangu.
Genesis 20:12	Pamoja na hayo, ni kweli kwamba, yeye ni dada yangu. Baba ni mmoja, lakini mama yake ni mwingine, hivyo akawa mke wangu.
Genesis 20:13	Ambapo Mungu alinifanya niiache nyumba ya baba yangu na kwenda kukaa kwingine kama mgeni, nikamwambia mke wangu kwamba, ‘Popote ambapo tunaenda, uonyeshe moyo wako kwangu, uwe unasema tu kwamba, “Huyu ni kaka yangu.”’”
Genesis 20:14	Basi, Abimeleki akampa Abrahamu kondoo, mbuzi, ngʼombe, na watumwa wa kiume na wa kike, akamrudishia Sara mke wake.
Genesis 20:15	Tena, Abimeleki akaambia Abrahamu kwamba, “Ona, nchi hii yote iliyoko mbele yako, ni ya kwangu. Enda uishi mahali popote ambapo unataka.”
Genesis 20:16	Kisha, Abimeleki akaambia Sara kwamba, “Nimempa ndugu yako, sarafu za fedha za thamani ya elfu moja. Nimefanya hivyo mbele ya watu wote ambao wako pamoja na wewe, ili wote wajue kwamba, wewe hukufanya jambo baya. Imeonekana wazi kwa wote kwamba, huna hatia yoyote.”
Genesis 20:17	Basi, kwa kuwa Abimeleki alikuwa amechukua mke wa Abrahamu, Bwana Mungu akamfanya kuwa towashi na mke wake akamfunga kuzaa, pamoja na watumwa wote wa kike wa nyumbani kwake. Kwa hiyo, Abrahamu akaomba Mungu, kisha Mungu akamponya utowashi wake, mke wake, na watumwa wake wote, wakaweza kuzaa tena.
Genesis 20:18	<range>
Genesis 21:1	Bwana Mungu akakumbuka ahadi yake kwa Sara, akamfanyia ambavyo alikuwa ameahidi.
Genesis 21:2	Ndipo, Sara akachukua mimba, akamzalia Abrahamu mtoto wa kiume katika uzee wake. Kulitokea kwa wakati ule ule, kama ambavyo Mungu alikuwa amemwambia Abrahamu.
Genesis 21:3	Abrahamu akamwita mtoto huyo, Isaka.
Genesis 21:4	Ambapo Isaka alifikisha siku nane, Abrahamu akamtahiri, kama ambavyo Mungu alimwagiza.
Genesis 21:5	Wakati ambao Isaka alizaliwa, Abrahamu alikuwa na miaka mia moja.
Genesis 21:6	Sara akasema kwamba, “Mungu amenifanya nicheke kwa furaha. Yeyote ambaye atasikia jambo hili, atacheka pamoja na mimi.”
Genesis 21:7	Tena, akasema kwamba, “Nani angeweza kumwambia Abrahamu kwamba, na mimi Sara ningenyonyesha mtoto? Ona sasa, nimemzalia mtoto wa kiume katika uzee wake!”
Genesis 21:8	Isaka akaendelea kukua, na siku ambayo aliachishwa ziwa, Abrahamu akamfanyia sherehe kubwa.
Genesis 21:9	Siku moja, Sara akaona Ishmaeli, mtoto wa Abrahamu ambaye alizaliwa na Hajiri Mmisri, akimfanyia dhihaka Isaka, mtoto wake.
Genesis 21:10	Kwa hiyo, Sara akamwambia Abrahamu kwamba, “Fukuza mtumwa huyu na mtoto wake! Haiwezekani mtoto wa mtumwa, arithi pamoja na mtoto wangu Isaka.”
Genesis 21:11	Maneno hayo yakamwumiza Abrahamu sana, kwa kuwa Ishmaeli naye ni mtoto wake.
Genesis 21:12	Lakini, Mungu akamwambia Abrahamu kwamba, “Jambo hilo kwa ajili ya mtumwa wako na mtoto wake, lisiwe baya kwako. Chochote ambacho Sara atakuambia, ufanye, kwa kuwa kupitia kwa Isaka utapata wazawa ambao wataitwa wa kwako.
Genesis 21:13	Na mtoto wa mtumwa wako, naye nitamfanya awe baba wa taifa, kwa kuwa naye ni mtoto wako.”
Genesis 21:14	Kwa hiyo, kesho yake asubuhi mapema, Abrahamu akachukua vyakula na kibuyu cha maji, akamwekea Hajiri begani, akamfukuza pamoja na mtoto wake. Kisha, wakashika njia ya kwenda katika jangwa la Beeri-Sheba, wakawa wanatangatanga humo.
Genesis 21:15	Ambapo maji yaliisha, Hajiri akamlaza mtoto wake chini katika kichaka.
Genesis 21:16	Yeye akaenda mbali kidogo, kama urefu wa kutupa mshale, akakaa hapo, akajisemea kwamba, “Sitaki kuona ambavyo mtoto wangu anakufa.” Ambapo alikaa hapo, akaanza kulia kwa sauti kubwa.
Genesis 21:17	Mungu akasikia mtoto huyo analia. Kisha, malaika wa Mungu akamwita Hajiri kutoka mbinguni akamwuliza, “Ni mateso gani unayo? Usiogope! Mungu amesikia sauti ya mtoto wako analia ambapo yupo.
Genesis 21:18	Simama! Uende umwinue mtoto wako, umchukue vizuri mikononi. Mimi nitamfanya awe baba wa taifa kubwa.”
Genesis 21:19	Ndipo, Mungu akamwezesha Hajiri kuona kisima cha maji. Kwa hiyo, akaenda akachota maji, akajaza kibuyu cha maji, akamnywesha mtoto wake.
Genesis 21:20	Basi, Mungu akawa pamoja na mtoto huyo, naye akaendelea kukua, mpaka akawa kijana mkubwa. Kisha, akaenda kuishi jangwani, akawa mwindaji sana wa upinde na mishare.
Genesis 21:21	Alikuwa anaishi katika jangwa la Parani, na mama yake akamwozesha mwanamke kutoka katika nchi ya Misri.
Genesis 21:22	Siku moja, mfalme Abimeleki pamoja na Fikoli mkuu wa maaskari wake, wakamtembelea Abrahamu. Abimeleki akamwambia kwamba, “Mungu yupo pamoja na wewe kwa chochote ambacho unafanya.
Genesis 21:23	Sasa unilie kiapo kwa jina la Mungu kwamba, hutanifanyia njama mimi, watoto wangu, hata uzao wangu. Kama ambavyo mimi nilikufanyia mema, hivyo hivyo na wewe pia unifanyie mema, mimi na nchi hii ambamo unaishi kama mgeni.”
Genesis 21:24	Abrahamu akasema kwamba, “Nakula kiapo kwamba, nitafanya hivyo.”
Genesis 21:25	Ndipo, akalalamika kwa Abimeleki kwa sababu ya kisima cha maji ambacho watumwa wa Abimeleki walimnyangʼanya.
Genesis 21:26	Abimeleki akamwambia kwamba, “Mimi sijui mtu ambaye alifanya hivyo, na wewe hujaniambia. Leo ndipo ninasikia habari hiyo.”
Genesis 21:27	Ndipo, Abrahamu akaleta kondoo, mbuzi, na ngʼombe, akampa Abimeleki, wawili hao, wakafanya agano.
Genesis 21:28	Abrahamu akachagua wanakondoo majike saba.
Genesis 21:29	Abimeleki akamwuliza kwamba, “Kwa nini umechagua wanakondoo hizi saba?”
Genesis 21:30	Abrahamu akamjibu kwamba, “Upokee wanakondoo hizi saba majike kutoka kwangu, ili iwe ishara kwamba, mimi nilichimba kisima hiki.”
Genesis 21:31	Ndipo, kisima hicho kikaitwa kwamba, Beeri-Sheba, kwa kuwa ndipo walifanyiana agano kwa kula kiapo.
Genesis 21:32	Ambapo walimaliza kufanya agano Beeri-Sheba hapo, Abimeleki akaondoka pamoja na Fikoli, mkuu wa maaskari wake, wakarudi katika nchi ya Wafilisti.
Genesis 21:33	Abrahamu akapanda mkwaju Beeri-Sheba hapo, na akamwabudia hapo Bwana, Mungu wa milele.
Genesis 21:34	Abrahamu alikaa nchi ya Wafilisti kama mgeni kwa siku nyingi.
Genesis 22:1	Wakati ambao mambo hayo yalipita, Mungu akajaribu Abrahamu. Akamwita kwamba, “Abrahamu!” Abrahamu akaitika kwamba, “Nipo hapa.”
Genesis 22:2	Mungu akamwambia kwamba, “Chukua mtoto wako wa pekee Isaka, ambaye unampenda sana, uende naye katika nchi ya Moria, katika mlima ambao nitakuonyesha. Huko, umtoe dhabihu ya kuteketezwa.”
Genesis 22:3	Basi, kesho yake asubuhi mapema, Abrahamu akaamka, akaandaa kuni za kuchomea dhabihu. Kisha, akachukua punda wake, na watumwa wake wawili, pamoja na mtoto wake Isaka. Ndipo, akaanza safari ya kwenda mahali ambapo alikuwa ameambiwa na Mungu.
