Genesis 1:1	Mwanzo hapo, Mungu aliumba mbingu na dunia.
Genesis 24:7	Bwana, Mungu wa mbingu, ndiye alinitoa kutoka nyumbani kwetu kwa baba, kutoka katika nchi ambayo nilizaliwa, akazungumza na mimi, akaniapia kwamba, ‘Nitawapa watu wa uzao wako nchi hii.’ Kwa hiyo, Mungu atakutumia malaika wake, na wewe utamletea mtoto wangu mwanamke kutoka huko.
Genesis 24:8	Kama mwanamke huyo, atakataa kuja pamoja na wewe, basi kiapo hiki hakitakushika. Lakini usije kumrudisha mtoto wangu huko.”
Genesis 24:9	Basi, mtumwa huyo, akaweka mkono wake chini wa paja la bwana wake Abrahamu, akala kiapo kwa ajili ya jambo hilo.
Genesis 24:10	Kisha, akachukua ngamia kumi wa bwana wake, akaondoka na zawadi nzuri aina nyingi. Akafanya safari kwenda katika mji ambao ulikuwa unaitwa Nahori, katika nchi ya Mesopotamia.
Genesis 24:11	Ambapo alifika katika lango la mji, ilikuwa jioni, wakati ambao wanawake walikuwa wanakwenda kuchota maji. Akapigisha magoti ngamia zake pembeni wa kisima ambacho kilikuwa nje wa mji.
Genesis 24:12	Ndipo akaomba kwamba, “Eee Bwana, Mungu wa bwana wangu Abrahamu! Nakuomba unisaidie, mambo yangu yawe mema leo, ufadhili bwana wangu Abrahamu.
Genesis 24:13	Tazama! Sasa nimesimama pembeni mwa kisima hiki, na mabinti wa mji huu wanakuja kuchota maji.
Genesis 24:14	Basi, iwe kwamba, ambapo nitamwambia binti mmoja kati yao kwamba, ‘Naomba utue mtungi wako ninywe maji,’ anijibu kwamba, ‘Kunywa, na hata ngamia zako nazichotea,’ huyo ndiye awe ambaye umechagulia mtumishi wako Isaka. Na kwa jambo hilo nitajua kwamba, umemfadhili bwana wangu.”
Genesis 24:15	Ambapo alikuwa bado akimwomba Mungu, hapo hapo akatokea binti mmoja, jina lake Rebeka, amejitwisha mtungi wake begani. Rebeka huyo, alikuwa binti wa Bethueli, mtoto wa Nahori na Milka. Nahori huyo, alikuwa mdogo wake Abrahamu.
Genesis 24:16	Binti huyo, alikuwa anapendeza sana, na alikuwa hajalala na mwanaume. Basi, akateremka kisimani kuchota maji, akajaza mtungi wake, kisha akapanda.
Genesis 24:17	Ndipo, mtumwa huyo akakimbia haraka kukutana naye, akamwambia kwamba, “Naomba unipe maji kidogo ya mtungi wako ninywe!”
Genesis 24:18	Naye akamjibu kwamba, “Ni haya unywe, bwana wangu.” Akatua mtungi wake haraka, akaushikilia kumnywesha.
Genesis 24:19	Ambapo alimaliza kumpa maji, akamwambia kwamba, “Nachotea ngamia zako pia maji, nazo zinywe mpaka zitosheke.”
Genesis 24:20	Akafanya haraka akamimina maji katika chombo cha kunyweshea mifugo, kisha akakimbia kwenda kisimani kuchota maji mengine ya kunywesha ngamia zote.
Genesis 24:21	Basi, mtumwa huyo akamwangalia, pasipo kusema chochote, ili ajue kama Bwana Mungu amefanya safari yake kuwa nzuri, au la.
Genesis 24:22	Ambapo ngamia hizo zilimaliza kunywa maji, akachukua pete ya puani ya dhahabu, akampa binti huyo. Pia akampa na bangili mbili za dhahabu. Vitu hivyo vyote vilikuwa na gharama kubwa sana.
Genesis 24:23	Akamwuliza kwamba, “Wewe ni binti wa nani? Pa kulala panapatikana nyumbani kwenu?”
Genesis 24:24	Binti huyo, akamjibu kwamba, “Mimi ni binti wa Bethueli, mtoto wa Nahori na mkewe Milka.”
Genesis 24:25	Tena akamwambia kwamba, “Kwetu, nafasi ya kulala wageni ipo, na kuna nyasi na malisho ya mifugo.”
Genesis 24:26	Ndipo mtumwa huyo, akapiga magoti na kumsifu Bwana Mungu, akisema kwamba,
Genesis 24:27	“Asifiwe Bwana, Mungu wa bwana wangu Abrahamu, kwa kuwa alimwonyesha Abrahamu ufadhili na ukweli wake. Bwana Mungu amenitangulia mimi mwenyewe mpaka nifike kwa ndugu wa bwana wangu!”
Genesis 24:28	Binti huyo, akakimbia nyumbani, akaambia mama yake na ndugu zake yote ambayo yalitokea.
Genesis 24:29	Rebeka alikuwa na kaka yake, alikuwa akiitwa Labani. Labani huyo, ambapo aliona pete puani mwa Rebeka na bangiri mikononi mwake, na kusikia mambo ambayo Rebeka ameambiwa na mtumwa yule, akakimbia kwenda kisimani kukutana naye. Ambapo alifika huko, akakuta mtumwa huyo akiwa amesimama na ngamia zake.
Genesis 24:30	<range>
Genesis 24:31	Labani akamwambia kwamba, “Karibu kwetu, wewe mbarikiwa na Bwana Mungu. Mbona unasimama nje huku? Nimemaliza kukuandalia nyumba, na mahali pa ngamia zako papo.”
Genesis 24:32	Ndipo, mtumwa huyo akaenda naye kuingia nyumbani kwake. Wakashusha mizigo kutoka kwenye ngamia, wakazipatia nyasi na malisho mengine, na wakampa mtumwa huyo na watu ambao walikuwa pamoja naye maji ya kunawa miguu.
Genesis 24:33	Ndipo, akaandaliwa chakula, lakini akasema kwamba, “Sitakula kitu chochote mpaka niwaambie ambacho nataka kusema.” Labani akamwambia kwamba, “Basi, sema!”
Genesis 24:34	Akasema kwamba, “Mimi ni mtumwa wa Abrahamu.
Genesis 24:35	Bwana Mungu amebariki bwana wangu, amekuwa tajiri sana. Amempa makundi makubwa ya kondoo, mbuzi na ngʼombe. Amempa ngamia na punda, madini ya fedha na ya dhahabu, pamoja na watumwa wa kiume na wa kike.
Genesis 24:36	Sara, mke wa bwana wangu, akamzalia mtoto wa kiume katika uzee wake. Mtoto huyo, ndiye Abrahamu amempa vitu vyake vyote.
Genesis 24:37	Ndipo, bwana wangu akaniapisha kiapo akasema kwamba, ‘Usimwoze mtoto wangu Isaka, mwanamke yeyote kutoka kwa mabinti wa nchi ya Kanaani ambayo ninaishi humo.
Genesis 24:38	Bali uende mpaka katika mji wa baba yangu na ndugu zangu, utafutie mtoto wangu Isaka mwanamke.’
Genesis 24:39	Nikamwuliza kwamba, ‘Sasa, kama binti huyo atakataa kuja katika nchi hii, itakuwa vipi?’
Genesis 24:40	Akanijibu kwamba, ‘Bwana Mungu ambaye ninamtii katika siku zangu zote, ndiye atatuma malaika wake pamoja na wewe. Atafanya safari yako iwe nzuri, ili umchukulie mtoto wangu mwanamke kutoka kwa ndugu zangu wa katika ukoo wa baba yangu.
Genesis 24:41	Na iwapo utafika kwa ndugu zangu, wakatae kukupa binti huyo, hautashikwa na kiapo hiki.’ ”
Genesis 24:42	Mtumwa huyo, akaendelea kusema kwamba, “Leo ambapo nilifika kisimani, nikaomba kwamba, ‘Eee Bwana, Mungu wa bwana wangu Abrahamu! Nakuomba unisaidie safari yangu iwe nzuri.
Genesis 24:43	Tazama! Sasa nimesimama karibu na kisima hiki. Basi iwe kwamba, binti ambaye akija kuchota maji, nimwombe anipe maji kutoka katika mtungi wake ninywe,
Genesis 24:44	naye anijibu kwamba, “Kunywa, na hata ngamia zako nazichotea,” huyo ndiye awe mwanamke ambaye wewe Bwana Mungu umemchagulia mtoto wa bwana wangu.’
Genesis 24:45	“Basi, wakati nilikuwa sijamaliza kumwomba moyoni wangu, mara Rebeka akafika akiwa na mtungi wake begani. Akateremka kisimani, na kuchota maji. Nikamwambia kwamba, ‘Unipe maji ninywe!’
Genesis 24:46	Mara moja, akatua mtungi wake, akaniambia kwamba, ‘Haya kunywa, na ngamia zako nitazichotea.’ Ndipo nikanywa, na ngamia zangu akazichotea maji, zikanywa.
Genesis 24:47	“Kisha, nikamwuliza kwamba, ‘Wewe ni binti wa nani?’ Akanijibu kwamba, ‘Mimi ni binti wa Bethueli, mtoto wa Nahori, Milka aliyemzalia.’ Ndipo nikamwekea pete katika pua, na kumvalisha bangili katika mikono.
Genesis 24:48	Kisha nikapiga magoti kumsifu Bwana Mungu wa bwana wangu Abrahamu, kwa kuwa amenitangulia katika safari yangu na kunionyesha binti wa ndugu za bwana wangu, awe mke wa mtoto wake.
Genesis 24:49	“Basi sasa, mniambie, kama mnataka kumfanyia bwana wangu ufadhili na ukweli. Kama hamtaki, mniambie, mimi nitajua cha kufanya.”
Genesis 24:50	Labani na Bethueli wakamjibu kwamba, “Tunaona kwamba, jambo hili, linatoka kwa Bwana Mungu mwenyewe, sisi hatuwezi kufanya chochote tena.
Genesis 24:51	Rebeka yuko hapa. Mchukue mwende naye, awe mke wa mtoto wa bwana wako, kama ambavyo Bwana Mungu amesema.”
Genesis 24:52	Mtumwa wa Abrahamu huyo, ambapo alisikia hiyo, akapiga magoti kwa kumsifu Bwana Mungu.
Genesis 24:53	Kisha, akatoa vitu ambavyo vimetengenezwa kwa madini ya fedha, na ya dhahabu, pamoja na nguo, akampa Rebeka. Pia, akawapa kaka yake na mama yake vitu vya gharama.
Genesis 24:54	Ndipo, yeye pamoja na watu ambao walikuwa naye, wakala, wakanywa na kulala hapo. Ambapo waliamka asubuhi, mtumwa huyo akasema kwamba, “Naomba nirudi kwa bwana wangu.”
Genesis 24:55	Lakini kaka yake Rebeka, pamoja na mama yake, wakasema kwamba, “Umwache binti huyu, akae na sisi muda wa kama siku kumi, kisha anaweza kwenda na wewe.”
Genesis 24:56	Lakini akawajibu kwamba, “Bwana Mungu amemaliza kunibariki katika safari yangu. Kwa hiyo, naomba msinicheleweshe. Mniruhusu nirudi kwa bwana wangu.”
Genesis 24:57	Nao wakasema kwamba, “Ngoja, tumwite binti mwenyewe, tumwulize.”
Genesis 24:58	Wakamwita Rebeka wakamwuliza kwamba, “Rebeka, unakubali kwenda na mtu huyu?” Akajibu kwamba, “Ndiyo, naenda!”
Genesis 24:59	Basi, wakamwacha Rebeka aende na mlezi wake, pamoja na mtumwa wa Abrahamu na watu wake.
Genesis 24:60	Ndugu wa Rebeka, wakambariki wakisema kwamba, “Wewe binti wetu, Mungu akufanye uwe mzazi wa maelfu na maelfu! Na uzao wako, ushinde na kuchukua miji ya maadui zao.”
Genesis 24:61	Rebeka akaondoka na watumwa wake wa kike, wakapanda ngamia, wakamfuata mtumwa wa Abrahamu huyo. Hivyo ndivyo ambavyo mtumwa wa Abrahamu alimchukua Rebeka, akaenda naye.
Genesis 24:62	Wakati huo, Isaka alikuwa amerudi kutoka katika chemichemi ya Beeri-Lahai-Roi, kwa sababu alikuwa anaishi upande wa Negebu.
Genesis 24:63	Siku moja, wakati wa jioni, akaenda shambani kutafakari. Ambapo aliinua macho, akaona ngamia zinakuja.
Genesis 24:64	Rebeka naye, akainua macho yake akaona Isaka. Ambapo alimwona, akateremka kutoka katika ngamia.
Genesis 24:65	Akamwuliza mtumwa wa Abrahamu kwamba, “Nani yule anatembea shambani, anakuja kutupokea?” Naye akamjibu kwamba, “Ni bwana wangu Isaka.” Basi, Rebeka akachukua shera yake, akajifunika.
Genesis 24:66	Mtumwa huyo, akamwambia Isaka yote ambayo alikuwa amefanya.
Genesis 24:67	Isaka ambapo alisikia hayo, akamwingiza Rebeka katika hema la mama yake Sara, akamchukua kuwa mke wake, akampenda sana. Isaka akafarijiwa naye kwa ajili ya kifo cha mama yake.
Genesis 25:1	Abrahamu akaoa mwanamke mwingine, jina lake aliitwa Ketura.
Genesis 25:2	Ketura naye akamzalia watoto, majina yao ni haya, Zimrani, Yokshani, Medani, Midiani, Ishbaki na Shua.
Genesis 25:3	Yokshani naye akazaa Sheba na Dedani. Dedani ndiye alikuwa baba wa Waashuri na Waletushi, na Waleumi.
Genesis 25:4	Midiani naye akazaa Efa, Eferi, Hanoki, Abida na Eldaa. Hao wote, ndio walikuwa uzao wa Ketura.
Genesis 25:5	Abrahamu akamwachia Isaka urithi wa vitu vyake vyote.
Genesis 25:6	Na wakati ambao Abrahamu bado alikuwa hai, akawapa watoto wa wake zake wadogo zawadi. Kisha akawatenganisha na mwana wake Isaka, akawatuma mbali waishi nchi nyingine, upande wa mashariki.
Genesis 25:7	Abrahamu aliishi miaka mia moja sabini na tano.
Genesis 25:8	Alikuwa na maisha marefu sana na ya baraka, kisha akafa, akaungana na mababu zake.
Genesis 25:9	Watoto wake, Isaka na Ishmaeli, wakamzika katika kaburi ya Makipela, upande wa mashariki wa Mamre, katika shamba la Efroni, mtoto wa Sohari wa kabila ya Wahiti.
Genesis 25:10	Shamba hilo, Abrahamu alikuwa amenunua kwa Wahiti. Hapo ndipo mke wake Sara alikuwa amezikwa, na Abrahamu naye akazikwa hapo.
Genesis 25:11	Basi, ambapo Abrahamu alikufa, Mungu akambariki Isaka. Isaka akakaa karibu na chemichemi cha Beeri-Lahai-Roi.
Genesis 25:12	Huu ndio uzao wa Ishmaeli mtoto wa Abrahamu ambaye alizaliwa na Mmisri Hajiri, mtumwa wa Sara.
Genesis 25:13	Haya ni majina ya watoto wa Ishmaeli, kulingana na ambavyo wamezaliwa. Nebayothi ndiye alikuwa mzaliwa wa kwanza, akafuatiwa na Kedari, Adbeeli, Mibusamu,
Genesis 25:14	Mishma, Duma, Masa,
Genesis 25:15	Hadadi, Tema, Yeturi, Nafishi na mziwanda Kedema.
Genesis 25:16	Hao ndio watoto kumi na wawili wa Ishmaeli. Wote hawa walikuwa mababu wa makabila yao. Miji yao mikubwa na midogo, ilikuwa inaitwa kwa majina yao.
Genesis 25:17	Ambapo Ishmaeli alikufa, alikuwa na miaka mia moja na thelethini na saba, naye akaungana na mababu zake.
Genesis 25:18	Uzao wa Ishimael, walikuwa wanaishi katikati ya maeneo ya Havila na Shuri. Mahali hapo, palikuwa mashariki ya Misri, kuelekea Ashuru. Walikuwa na uhasama na uzao mwingine wa watoto wa Abrahamu.
Genesis 25:19	Huu ndio uzao wa Isaka, mtoto wa Abrahamu.
Genesis 25:20	Ambapo Isaka alikuwa na miaka arobaini, akaoa Rebeka, binti wa Bethueli Mwaramu kutoka Padan-Aramu, na dada wa Labani.
Genesis 25:21	Rebeka alikuwa tasa, kwa hiyo Isaka akaomba Bwana Mungu kwa ajili ya mke wake. Bwana Mungu naye akakubali maombi yake, kisha Rebeka akachukua mimba.
Genesis 25:22	Mimba hiyo, ilikuwa ya mapacha. Watoto wakashindana tumboni. Ndipo, Rebeka akamwambia Bwana Mungu kwamba, “Kwa nini imekuwa hivyo kwangu? Ni heri nife.”
Genesis 25:23	Bwana Mungu akamjibu kwamba, “Tumboni mwako, kuna makabila mawili. Makabila haya yatakuja kufarakana kutoka tumboni. Moja litakuwa na uwezo sana kuliko lingine, na mkubwa atakuwa anamtumikia mdogo wake.”
Genesis 25:24	Ambapo wakati wa kujifungua ulifika, Rebeka akazaa mapacha.
Genesis 25:25	Mtoto wa kwanza alikuwa mwekundu, na mwili wake wote ulikuwa umejaa manyoya. Hiyo ndiyo sababu ya kumwita jina Esau.
Genesis 25:26	Ndipo mtoto wa pili akazaliwa, akiwa amemshikilia Esau katika kisigino. Hiyo ndiyo sababu ya kumwita jina Yakobo. Wakati ambao Esau na Yakobo walizaliwa, baba yao Isaka alikuwa na miaka sitini.
Genesis 25:27	Watoto hao, wakakua. Esau alikuwa hodari wa kuwinda, alizoea kwenda mstuni. Lakini Yakobo yeye, alikuwa mpole, na alizoea kazi za nyumbani.
Genesis 25:28	Isaka alipenda sana kula nyama za wanyama za mstuni, kwa hiyo alikuwa anampenda Esau. Lakini Rebeka, yeye alikuwa anampenda Yakobo.
Genesis 25:29	Siku moja, Yakobo alikuwa anapika dengu, kisha Esau akatoka kuwinda, akiwa anasikia njaa sana.
Genesis 25:30	Akamwambia Yakobo kwamba, “Ninasikia njaa kali. Unipe vyakula vyekundu hivyo nile!” Hiyo ndiyo sababu ya kumwita jina Edomu.
Genesis 25:31	Yakobo akamjibu kwamba, “Sasa, ukitaka hivyo, uniuzie urithi wako wa mzaliwa wa kwanza.”
Genesis 25:32	Naye akasema kwamba, “Ni vizuri! Mbona nimekaribia kufa na njaa! Haki ya mzaliwa wa kwanza inanisaidia nini?”
Genesis 25:33	Yakobo akasema kwamba, “Niapie sasa.” Esau akamwapia kiapo, akamwuzia urithi wake wa mzaliwa wa kwanza.
Genesis 25:34	Basi, Yakobo akampa Esau mkate na dengu. Esau akala na kunywa. Ambapo alimaliza, akaondoka. Hivyo Esau alidharau haki yake ya urithi wa mzaliwa wa kwanza.
Genesis 26:1	Wakati fulani, njaa kubwa ikatokea katika nchi humo. Njaa hiyo ilikuwa tofauti na ile ambayo ilitokea wakati wa Abrahamu. Isaka akahamia katika mji wa Gerari, kwa Abimeleki, mfalme wa Wafilisti.
Genesis 26:2	Bwana Mungu alikuwa amemtokea Isaka, akamwambia kwamba, “Usiende Misri, bali kaa katika nchi ambayo nitakuambia.
Genesis 26:3	Ukae katika nchi hii, na mimi nitakuwa pamoja na wewe, nitakubariki. Nitatimiliza kiapo ambacho nilimpa baba yako Abrahamu, kwa kukupa wewe na uzao wako, nchi hiyo yote.
Genesis 26:4	Nitazidisha uzao wako, uwe kama nyota za angani, na nitawapa nchi hiyo yote. Na kupitia uzao wako, nitabariki watu wa mataifa yote ya duniani.
Genesis 26:5	Nitakubariki, kwa kuwa Abrahamu alikuwa ananitii na kukubali maagizo yangu, kanuni zangu, hukumu zangu na sheria zangu.”
Genesis 26:6	Kwa hiyo, Isaka akaishi Gerari huko.
Genesis 26:7	Watu wa huko, wakamwuliza juu ya mke wake. Akawajibu kwamba, “Huyu ni dada yangu.” Aliogopa kusema kwamba ni mke wake, wenyeji katika mji huo wasije wakamwua kwa ajili ya Rebeka, kwa kuwa alikuwa anapendeza sana.
Genesis 26:8	Ambapo Isaka alikuwa amekaa huko siku nyingi, siku moja, Abimeleki, mfalme wa Wafilisti, akachungulia dirishani, akamwona Isaka akiwa anamkumbatia Rebeka kama mke wake .
Genesis 26:9	Ndipo Abimeleki akamwita Isaka, akamwuliza kwamba, “Kumbe, huyo ni mke wako! Mbona ulisema kwamba, ni dada yako?” Isaka akamjibu kwamba, “Nilisema hivyo, kwa kuwa niliogopa kwamba, ningeuawa kwa ajili yake.”
Genesis 26:10	Kisha Abimeleki akamwuliza kwamba, “Ni jambo gani ambalo umetufanyia? Kama mtu mmoja kati yetu angelala naye bila kujua ni mke wako, wewe huoni kwamba ungetuingiza katika dhambi?”
Genesis 26:11	Ndipo, Abimeleki akakataza watu wake wote kwamba, “Yeyote ambaye atagusa mtu huyu au mke wake, atauawa!”
Genesis 26:12	Mwaka huo, Isaka akawa analima katika nchi hiyo, akavuna mazao mengi sana, kwa kuwa Bwana Mungu alimbariki.
Genesis 26:13	Isaka akatajirika, mali yake ikaongezeka mpaka akawa tajiri sana.
Genesis 26:14	Alikuwa na kondoo, mbuzi na ngʼombe, na watumwa wengi, mpaka Wafilisti wakamwonea wivu.
Genesis 26:15	Basi, visima vyote ambavyo vilichimbwa na watumwa wa Abrahamu baba yake, Wafilisti wakafukia.
Genesis 26:16	Kisha, Abimeleki akamwambia Isaka kwamba, “Utoke katika nchi yetu, kwa kuwa wewe umekuwa na nguvu kuzidi sisi.”
Genesis 26:17	Basi, Isaka akatoka hapo, akaenda akapiga kambi yake katika bonde la Gerari, akakaa huko.
Genesis 26:18	Isaka akachimbua tena visima ambavyo vilichimbwa wakati wa Abrahamu baba yake, kwa kuwa Wafilisti walivifukia wakati ambao Abrahamu alikufa. Ambapo Isaka alimaliza kuvichimbua, akaviita majina yale yale baba yake aliviita.
Genesis 26:19	Siku moja, watumwa wa Isaka wakachimba katika bonde hilo, wakakuta humo chemichemi ya maji safi.
Genesis 26:20	Wachungaji wa Gerari hapo, wakagombana na wachungaji wa Isaka kwamba, “Maji haya ni yetu!” Ndipo, Isaka akaita kisima hicho Eseki, kwa kuwa wachungaji wa Gerari waligombana na wachungaji wake.
Genesis 26:21	Kisha, wachungaji wa Isaka wakachimba kisima kingine, hicho nacho wakakigombania. Kwa hiyo, kisima hicho, Isaka akaita Sitina.
Genesis 26:22	Basi, Isaka akatoka huko, akaenda kuchimba kisima kingine, na hicho hawakugombania. Kwa hiyo, akakiita Rehobothi, akasema kwamba, “Sasa, Bwana Mungu ametupa nafasi ya kutosha, tutastawi katika nchi hii.”
Genesis 26:23	Kisha akatoka hapo, akaenda Beeri-Sheba.
Genesis 26:24	Usiku huo huo, Bwana Mungu akamtokea, akamwambia kwamba, “Mimi ndiye Mungu wa baba yako Abrahamu. Usiogope, kwa kuwa mimi niko pamoja na wewe, nitakubariki na kuongezeka uzao wako, kwa ajili ya agano langu ambalo niliagana na Abrahamu, mtumishi wangu.”
Genesis 26:25	Kwa hiyo, Isaka akajenga mahali pa kutolea dhabihu, akamwabudu Bwana Mungu. Kisha Isaka akapiga kambi yake huko, na watumwa wake wakachimba kisima kingine.
Genesis 26:26	Siku moja, Abimeleki akatoka Gerari pamoja na rafiki yake wa karibu Ahuzati, na Fikoli, mkuu wa askari zake, wakaja kwa Isaka.
Genesis 26:27	Isaka akawauliza kwamba, “Mmekuja kwangu kufanya nini? Si mlinichukia, mkanifukuza kwenu?”
Genesis 26:28	Wakamjibu kwamba, “Tumeona kwamba, Bwana Mungu yuko pamoja na wewe. Kwa hiyo, ni vizuri tufanye agano la amani, tuapiane
Genesis 26:29	kwamba, hutatufanyia mabaya, kama vile sisi hatukukugusa. Tulikufanyia mema, tukakuacha uende zako kwa amani. Sasa tumeona kwamba, wewe ni mbarikiwa wa Bwana Mungu.”
Genesis 26:30	Basi, Isaka akawaandalia sherehe, wakala na kunywa.
Genesis 26:31	Kesho yake asubuhi, wakaapizana kiapo. Kisha, Isaka akawasindikiza, wakaenda zao kwa amani.
Genesis 26:32	Siku hiyo hiyo, watumwa wa Isaka, wakaja kumpa habari juu ya kisima ambacho walikuwa wamechimba, wakasema kwamba, “Tumepata maji!”
Genesis 26:33	Kisima hicho, Isaka akakiita Sheba. Kwa hiyo, mpaka leo hii, mji ambao upo sasa unaitwa Beeri-Sheba.
Genesis 26:34	Esau ambapo alifikisha miaka arobaini, akaoa wanawake wawili wa Wahiti, Yudithi binti wa Beeri, na Basemathi binti wa Eloni.
Genesis 26:35	Wanawake hao, wakafanya maisha ya Isaka na Rebeka kuwa magumu.
Genesis 27:1	Ambapo Isaka alizeeka na macho yake yalipofuka, akaita Esau, mtoto wake wa kwanza, akamwambia kwamba, “Mtoto wangu.” Naye akaitika kwamba, “Baba, nipo hapa.”
Genesis 27:2	Isaka akamwambia kwamba, “Ona, sasa mimi nimezeeka sana, na siku ya kufa kwangu, siijui.
Genesis 27:3	Sasa, ninakuomba kwamba, uchukue silaha yako, podo na upinde wako, uende msituni, uniwindie mnyama.
Genesis 27:4	Kisha nipikie chakula kizuri ambacho ninapenda, uniletee nile. Ndipo nitakubariki nikiwa sijafa.”
Genesis 27:5	Wakati ambao Isaka alikuwa akizungumza na mtoto wake Esau, Rebeka alikuwa anasikiliza. Basi, ambapo Esau aliondoka kwenda msituni kuwinda mnyama alete kwa ajili ya baba yake,
Genesis 27:6	Rebeka akamwambia mtoto wake Yakobo kwamba, “Nimesikia baba yako anamwambia Esau kwamba,
Genesis 27:7	‘Nenda kaniwindie mnyama, unipikie chakula kizuri ambacho ninapenda, uniletee nile. Ndipo nitakubariki mbele ya Bwana Mungu, nikiwa sijafa.’
Genesis 27:8	Sasa mtoto wangu, nisikilize, na kila ambacho ninakuambia, ukifanye.
Genesis 27:9	Nenda katika kundi wa mbuzi, uniletee wanambuzi wawili wazuri, ili nimfanyie baba yako chakula ambacho anapenda.
Genesis 27:10	Kisha umpelekee ale, ili akubariki akiwa hajafa.”
Genesis 27:11	Yakobo akamwambia mama yake kwamba, “Lakini kaka yangu Esau, ana manyoya mwili mzima, na mimi nina mwili laini!
Genesis 27:12	Labda baba atanipapasa, atajua kwamba, ninamdanganya. Hivyo nitakuwa nimejiletea laana, siyo baraka.”
Genesis 27:13	Mama yake akamwambia kwamba, “Laana yako iwe juu yangu. Wewe ufanye ambavyo nimekuambia, nenda uniletee wana mbuzi hao.”
Genesis 27:14	Basi, Yakobo akaenda akachukua wanambuzi hao, akaletea mama yake. Mama yake akafanya chakula kizuri, jinsi ambavyo baba yake alikuwa anapenda.
Genesis 27:15	Ndipo, Rebeka akaingia ndani ya hema, akachukua nguo nzuri za Esau, kijana wake wa kwanza. Kisha, akamvalisha Yakobo, mtoto wake mdogo.
Genesis 27:16	Ambapo alimaliza, akachukua ngozi ya wanambuzi akamvalisha katika mikono na mahali laini katika shingo lake.
Genesis 27:17	Kisha akampa mtoto wake Yakobo chakula kizuri hicho, na mkate ambao alikuwa amefanya.
Genesis 27:18	Basi, Yakobo akamwendea baba yake, akamwambia kwamba, “Baba!” Naye akaitika kwamba, “Naam, mtoto wangu, niko hapa. Wewe ni nani?”
Genesis 27:19	Yakobo akamwambia baba kwamba, “Ni mimi Esau, mtoto wako wa kwanza. Nimefanya ambavyo ulikuwa umeniambia. Uinuke ukae, ule mawindo yangu, ili unibariki.”
Genesis 27:20	Isaka akamwuliza kwamba, “Imekuwa namna gani umepata mawindo haraka hivyo, mtoto wangu?” Yakobo akamjibu kwamba, “Bwana, Mungu wako, ndiye amenisaidia.”
Genesis 27:21	Kisha, Isaka akamwambia kwamba, “Mtoto wangu, sogea hapa nikupapase, ili nijue kama kweli ni wewe mtoto wangu Esau, ama sivyo.”
Genesis 27:22	Yakobo akasogelea Isaka, naye akampapasa. Ambapo alimaliza, akasema kwamba, “Sauti ni ya Yakobo, lakini mikono ni ya Esau.”
Genesis 27:23	Hakumtambua, kwa sababu mikono yake yalikuwa yana manyoya kama ya Esau. Kwa hiyo akataka kumbariki.
Genesis 27:24	Akamwuliza tena kwamba, “Kweli wewe ndiye mtoto wangu Esau?” Yakobo akakubali kwamba, “Ndiye mimi!”
Genesis 27:25	Ndipo baba yake akamwambia kwamba, “Nisogeze karibu chakula cha mawindo ya mtoto wangu, ili nikile, nikubariki.” Basi, Yakobo akamsogezea karibu chakula hicho, baba yake akala. Kisha akamletea na pombe ya mizabibu, akanywa.
Genesis 27:26	Ndipo, baba akamwambia kwamba, “Sogea karibu mtoto wangu, unibusu.”
Genesis 27:27	Basi, Yakobo akamsogelea, akambusu. Ambapo baba yake alisikia harufu ya nguo za mtoto wake, akambariki akisema kwamba, “Ona, harufu ya mtoto wangu ni kama harufu ya shamba ambalo Bwana Mungu alibariki!
Genesis 27:28	Mungu akumwagie umande ya mbinguni akupe nchi ya mavuno mengi, tena akupe nafaka nyingi na pombe ya mizabibu nyingi.
Genesis 27:29	Watu wa mataifa wawe wanakutumikia, watu wa makabila wawe wanakupigia magoti. Uwe mtawala wa ndugu zako, na watoto wa mama yako wawe wanakupigia magoti. Kila mtu ambaye anakulaani, naye alaaniwe, na kila mtu ambaye anakubariki, naye abarikiwe.”
Genesis 27:30	Ambapo Isaka alimaliza kumbariki, Yakobo akatoka hapo. Ambapo alikuwa ametoka tu, Esau naye akafika kutoka kuwinda.
Genesis 27:31	Akafanya chakula kizuri, akampelekea baba yake, akasema kwamba, “Haya baba! Inuka ule mawindo yangu mimi mtoto wako, ili unibariki!”
Genesis 27:32	Baba yake akamwuliza kwamba, “Wewe ni nani?” Naye akajibu kwamba, “Ni mimi Esau, mtoto wako wa kwanza.”
Genesis 27:33	Mara moja, Isaka akatetemeka sana. Akasema kwamba, “Sasa ni nani ambaye aliwinda akaniletea nyama ya mawindo? Mimi nimemaliza kula wewe hujaja. Nimembariki, na kweli atabarikiwa.”
Genesis 27:34	Ambapo Esau alisikia maneno hayo ya baba yake, akalia kilio kwa uchungu sana. Akamwambia baba yake kwamba, “Eee baba, naomba na mimi nami unibariki!”
Genesis 27:35	Lakini, Isaka akamwambia kwamba, “Mdogo wako amekuja, amenidanganya, amechukua baraka yako.”
Genesis 27:36	Esau akasema kwamba, “Ndicho kinafanya anaitwa Yakobo! Amenidanganya mara mbili. Alichukua urithi wangu wa uzaliwa wa kwanza, na sasa amechukua baraka yangu!” Ndipo akauliza baba yake kwamba, “Sasa kwangu hukunibakiza baraka yoyote?”
